id,merchid,merchname,time
"56091","485","椴树蜂蜜","2017-06-22 18:22"
"285586","314","巨无霸金奇异果","2017-06-22 18:26"
"382427","570","砀山黄油桃","2017-06-22 18:30"
"394366","514","夹心海苔","2017-06-22 18:31"
"382427","610","海南桥沙地瓜","2017-06-22 18:31"
"196604","623","北极甜虾","2017-06-22 18:32"
"382427","446","和田玉枣","2017-06-22 18:33"
"71199","623","北极甜虾","2017-06-22 18:33"
"28710","534","湖南米粉","2017-06-22 18:35"
"69453","590","新西兰红玫瑰苹果","2017-06-22 18:37"
"28710","570","砀山黄油桃","2017-06-22 18:38"
"69453","314","巨无霸金奇异果","2017-06-22 18:39"
"70696","534","湖南米粉","2017-06-22 18:41"
"31324","534","湖南米粉","2017-06-22 18:41"
"40013","570","砀山黄油桃","2017-06-22 18:42"
"70696","505","泰国椰青","2017-06-22 18:42"
"80430","534","湖南米粉","2017-06-22 18:44"
"80430","534","湖南米粉","2017-06-22 18:45"
"40013","534","湖南米粉","2017-06-22 18:46"
"28710","533","厄瓜多尔白虾","2017-06-22 18:47"
"362510","623","北极甜虾","2017-06-22 18:49"
"129987","581","新疆切糕","2017-06-22 18:50"
"116005","534","湖南米粉","2017-06-22 18:50"
"135374","623","北极甜虾","2017-06-22 18:51"
"129987","561","烤制香脆大花生","2017-06-22 18:51"
"148488","570","砀山黄油桃","2017-06-22 18:52"
"381998","570","砀山黄油桃","2017-06-22 18:52"
"154353","534","湖南米粉","2017-06-22 18:53"
"155343","326","红心火龙果","2017-06-22 18:55"
"151220","570","砀山黄油桃","2017-06-22 18:57"
"155343","593","五常粥米","2017-06-22 18:58"
"151220","576","防晒小黑伞","2017-06-22 19:00"
"221823","534","湖南米粉","2017-06-22 19:04"
"147927","512","山楂优块","2017-06-22 19:08"
"102650","534","湖南米粉","2017-06-22 19:08"
"87666","534","湖南米粉","2017-06-22 19:09"
"106323","534","湖南米粉","2017-06-22 19:11"
"203668","534","湖南米粉","2017-06-22 19:11"
"203668","505","泰国椰青","2017-06-22 19:11"
"203668","544","重庆小面","2017-06-22 19:13"
"105604","570","砀山黄油桃","2017-06-22 19:13"
"203668","552","进口超甜香蕉","2017-06-22 19:14"
"68088","534","湖南米粉","2017-06-22 19:16"
"318383","502","南非红西柚","2017-06-22 19:19"
"170780","517","珍珠小笼包","2017-06-22 19:20"
"272918","314","巨无霸金奇异果","2017-06-22 19:20"
"261603","528","生态鲜腐竹","2017-06-22 19:21"
"4744","534","湖南米粉","2017-06-22 19:21"
"55703","534","湖南米粉","2017-06-22 19:22"
"17822","577","迁西甘栗仁","2017-06-22 19:23"
"348016","534","湖南米粉","2017-06-22 19:24"
"273551","476","手工面","2017-06-22 19:25"
"17822","438","藜麦","2017-06-22 19:27"
"347515","534","湖南米粉","2017-06-22 19:28"
"347515","427","柳州螺蛳粉","2017-06-22 19:31"
"338166","534","湖南米粉","2017-06-22 19:34"
"211360","570","砀山黄油桃","2017-06-22 19:35"
"330964","610","海南桥沙地瓜","2017-06-22 19:36"
"308032","512","山楂优块","2017-06-22 19:37"
"221442","427","柳州螺蛳粉","2017-06-22 19:38"
"347324","534","湖南米粉","2017-06-22 19:38"
"211360","543","美早大樱桃","2017-06-22 19:39"
"347324","314","巨无霸金奇异果","2017-06-22 19:39"
"60277","505","泰国椰青","2017-06-22 19:41"
"188089","570","砀山黄油桃","2017-06-22 19:42"
"36603","610","海南桥沙地瓜","2017-06-22 19:44"
"255985","610","海南桥沙地瓜","2017-06-22 19:50"
"375716","534","湖南米粉","2017-06-22 19:52"
"75620","570","砀山黄油桃","2017-06-22 19:54"
"191619","588","东魁杨梅","2017-06-22 20:01"
"41363","588","东魁杨梅","2017-06-22 20:04"
"161002","588","东魁杨梅","2017-06-22 20:06"
"71189","570","砀山黄油桃","2017-06-22 20:14"
"338605","485","椴树蜂蜜","2017-06-22 20:15"
"106323","514","夹心海苔","2017-06-22 20:18"
"10315","588","东魁杨梅","2017-06-22 20:19"
"276241","502","南非红西柚","2017-06-22 20:20"
"106323","462","智利三文鱼","2017-06-22 20:21"
"224899","534","湖南米粉","2017-06-22 20:23"
"332684","588","东魁杨梅","2017-06-22 20:27"
"148608","348","每日坚果","2017-06-22 20:28"
"146548","588","东魁杨梅","2017-06-22 20:29"
"17579","588","东魁杨梅","2017-06-22 20:33"
"211547","534","湖南米粉","2017-06-22 20:35"
"285830","534","湖南米粉","2017-06-22 20:44"
"110777","480","瑶鸡","2017-06-22 20:48"
"110777","424","沁州黄小米","2017-06-22 20:49"
"110777","375","五彩野鸡蛋","2017-06-22 20:49"
"110640","505","泰国椰青","2017-06-22 20:49"
"338107","588","东魁杨梅","2017-06-22 20:55"
"250649","505","泰国椰青","2017-06-22 20:55"
"110777","354","蔗汁红糖","2017-06-22 20:57"
"211120","505","泰国椰青","2017-06-22 21:05"
"22951","588","东魁杨梅","2017-06-22 21:05"
"211120","610","海南桥沙地瓜","2017-06-22 21:10"
"305909","534","湖南米粉","2017-06-22 21:23"
"211120","539","风干牛肉干","2017-06-22 21:34"
"169531","588","东魁杨梅","2017-06-22 21:51"
"226439","588","东魁杨梅","2017-06-22 21:54"
"78218","528","生态鲜腐竹","2017-06-22 22:22"
"360827","502","南非红西柚","2017-06-22 22:23"
"360827","596","云南“黑珍珠”葡萄","2017-06-22 22:23"
"360827","588","东魁杨梅","2017-06-22 22:24"
"100062","534","湖南米粉","2017-06-22 22:24"
"329284","593","五常粥米","2017-06-22 22:26"
"12658","588","东魁杨梅","2017-06-22 22:35"
"319459","610","海南桥沙地瓜","2017-06-23 00:49"
"245594","552","进口超甜香蕉","2017-06-23 00:57"
"17579","534","湖南米粉","2017-06-23 02:01"
"53733","570","砀山黄油桃","2017-06-23 08:10"
"72599","582","纯乳脂奶油蛋糕","2017-06-23 08:12"
"358643","544","重庆小面","2017-06-23 08:13"
"53733","528","生态鲜腐竹","2017-06-23 08:50"
"301862","485","椴树蜂蜜","2017-06-23 08:54"
"28386","593","五常粥米","2017-06-23 09:21"
"149195","462","智利三文鱼","2017-06-23 09:52"
"17040","517","珍珠小笼包","2017-06-23 11:16"
"155128","570","砀山黄油桃","2017-06-23 11:33"
"347474","543","美早大樱桃","2017-06-23 11:33"
"177330","595","麻辣小龙虾","2017-06-23 11:59"
"326676","354","蔗汁红糖","2017-06-23 11:59"
"145468","595","麻辣小龙虾","2017-06-23 12:00"
"299288","595","麻辣小龙虾","2017-06-23 12:00"
"33268","595","麻辣小龙虾","2017-06-23 12:01"
"334897","595","麻辣小龙虾","2017-06-23 12:01"
"17695","595","麻辣小龙虾","2017-06-23 12:08"
"359741","595","麻辣小龙虾","2017-06-23 12:11"
"393869","595","麻辣小龙虾","2017-06-23 12:17"
"74316","595","麻辣小龙虾","2017-06-23 12:18"
"90741","595","麻辣小龙虾","2017-06-23 12:24"
"384264","595","麻辣小龙虾","2017-06-23 12:29"
"364513","595","麻辣小龙虾","2017-06-23 12:30"
"290709","375","五彩野鸡蛋","2017-06-23 12:34"
"319624","595","麻辣小龙虾","2017-06-23 12:38"
"90741","595","麻辣小龙虾","2017-06-23 12:39"
"374978","595","麻辣小龙虾","2017-06-23 12:43"
"369912","595","麻辣小龙虾","2017-06-23 12:53"
"155338","595","麻辣小龙虾","2017-06-23 12:55"
"155338","512","山楂优块","2017-06-23 12:55"
"155338","514","夹心海苔","2017-06-23 12:59"
"164761","405","阿根廷红虾","2017-06-23 13:12"
"258555","595","麻辣小龙虾","2017-06-23 13:21"
"254760","512","山楂优块","2017-06-23 13:39"
"359796","595","麻辣小龙虾","2017-06-23 13:50"
"362341","595","麻辣小龙虾","2017-06-23 13:50"
"383655","427","柳州螺蛳粉","2017-06-23 13:53"
"178790","595","麻辣小龙虾","2017-06-23 13:57"
"359796","543","美早大樱桃","2017-06-23 14:10"
"214917","326","红心火龙果","2017-06-23 14:28"
"127839","595","麻辣小龙虾","2017-06-23 14:33"
"17822","595","麻辣小龙虾","2017-06-23 14:37"
"6492","570","砀山黄油桃","2017-06-23 14:50"
"6492","462","智利三文鱼","2017-06-23 14:52"
"386983","534","湖南米粉","2017-06-23 15:11"
"303721","502","南非红西柚","2017-06-23 15:32"
"367954","595","麻辣小龙虾","2017-06-23 15:33"
"60277","608","青岛玲珑圣女果","2017-06-23 15:37"
"367378","595","麻辣小龙虾","2017-06-23 15:38"
"145934","595","麻辣小龙虾","2017-06-23 15:43"
"297424","595","麻辣小龙虾","2017-06-23 16:23"
"72379","608","青岛玲珑圣女果","2017-06-23 16:31"
"190754","595","麻辣小龙虾","2017-06-23 16:50"
"67099","372","六鳌红蜜薯","2017-06-23 17:01"
"310830","435","满天星百香果","2017-06-23 17:02"
"192122","372","六鳌红蜜薯","2017-06-23 17:04"
"313718","372","六鳌红蜜薯","2017-06-23 17:06"
"240011","435","满天星百香果","2017-06-23 17:06"
"220162","372","六鳌红蜜薯","2017-06-23 17:07"
"209136","534","湖南米粉","2017-06-23 17:15"
"278216","372","六鳌红蜜薯","2017-06-23 17:15"
"260621","372","六鳌红蜜薯","2017-06-23 17:15"
"240011","435","满天星百香果","2017-06-23 17:17"
"332544","326","红心火龙果","2017-06-23 17:18"
"196860","372","六鳌红蜜薯","2017-06-23 17:20"
"216171","372","六鳌红蜜薯","2017-06-23 17:21"
"278216","594","台农凤梨16号","2017-06-23 17:21"
"64353","435","满天星百香果","2017-06-23 17:25"
"317178","534","湖南米粉","2017-06-23 17:25"
"64353","372","六鳌红蜜薯","2017-06-23 17:26"
"206580","595","麻辣小龙虾","2017-06-23 17:39"
"161844","372","六鳌红蜜薯","2017-06-23 17:39"
"240011","435","满天星百香果","2017-06-23 17:40"
"178790","372","六鳌红蜜薯","2017-06-23 17:45"
"195157","435","满天星百香果","2017-06-23 17:49"
"105865","435","满天星百香果","2017-06-23 17:51"
"359390","595","麻辣小龙虾","2017-06-23 17:52"
"146262","595","麻辣小龙虾","2017-06-23 17:54"
"17695","492","丹东黄蚬","2017-06-23 17:55"
"360827","372","六鳌红蜜薯","2017-06-23 18:09"
"73336","372","六鳌红蜜薯","2017-06-23 18:11"
"130500","596","云南“黑珍珠”葡萄","2017-06-23 18:17"
